                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.1321,2.7232,1.6163,0.35863,0.41956,0.19844,0.11091,1.4919,5.0309,2.4537,0.070081,0.0033243,0.0033243
2,1.0594,2.2016,1.5321,0.43987,0.36261,0.22336,0.11196,1.8389,2.6482,3.0061,0.039752,0.0063281,0.0063281
3,1.0003,2.0274,1.4849,0.24148,0.51874,0.30899,0.14374,2.1413,2.5395,4.135,0.0090922,0.0090019,0.0090019
4,0.94609,1.8668,1.4404,0.35523,0.78353,0.55009,0.38477,0.93754,1.7111,1.5409,0.008515,0.008515,0.008515
5,0.90842,1.7333,1.4012,0.34294,0.4301,0.29228,0.14317,2.1843,3.1581,3.6322,0.00802,0.00802,0.00802
6,0.87643,1.6336,1.3765,0.59347,0.78902,0.78856,0.61122,0.76263,1.185,1.37,0.007525,0.007525,0.007525
7,0.8451,1.5479,1.3587,0.82801,0.82689,0.89194,0.69065,0.80733,0.87133,1.374,0.00703,0.00703,0.00703
8,0.83445,1.4884,1.3457,0.54557,0.69987,0.70806,0.4782,1.1943,1.4601,1.7074,0.006535,0.006535,0.006535
9,0.80588,1.3762,1.3257,0.75306,0.77909,0.83911,0.52212,1.321,1.1421,1.9311,0.00604,0.00604,0.00604
10,0.79986,1.3351,1.3251,0.6454,0.77864,0.80713,0.60693,0.88813,1.1501,1.4566,0.005545,0.005545,0.005545
11,0.58599,0.68356,1.319,0.83635,0.89574,0.92091,0.76004,0.69279,0.69729,1.2302,0.00505,0.00505,0.00505
12,0.54973,0.56619,1.2748,0.63616,0.40636,0.46556,0.31097,1.6235,2.9731,2.7048,0.004555,0.004555,0.004555
13,0.53307,0.47998,1.2572,0.96242,0.96476,0.98821,0.85129,0.62351,0.41955,1.1768,0.00406,0.00406,0.00406
14,0.52181,0.43333,1.2398,0.96872,0.95763,0.98626,0.8376,0.65528,0.42364,1.1851,0.003565,0.003565,0.003565
15,0.51135,0.39684,1.2348,0.98041,0.97638,0.98867,0.85252,0.61891,0.36628,1.1397,0.00307,0.00307,0.00307
16,0.49671,0.35693,1.2215,0.98491,0.98421,0.99024,0.86483,0.59998,0.34878,1.1376,0.002575,0.002575,0.002575
17,0.49105,0.33488,1.2131,0.98937,0.99418,0.9922,0.86559,0.60546,0.31848,1.1534,0.00208,0.00208,0.00208
18,0.47922,0.29995,1.2055,0.99288,0.98911,0.99198,0.86172,0.61548,0.30769,1.1261,0.001585,0.001585,0.001585
19,0.46475,0.2786,1.1919,0.99396,0.99541,0.99214,0.87668,0.56996,0.28851,1.0984,0.00109,0.00109,0.00109
20,0.45895,0.26215,1.1814,0.99663,0.99324,0.99255,0.87999,0.57721,0.27488,1.1037,0.000595,0.000595,0.000595
